spec_name,order,seasonal_order,exog_cols,fold,val_start_idx,val_end_idx,n_obs,rmse,rmse_sd
PM10_fit_1,"(3, 1, 1)","(1, 0, 1, 24)",[],1,8208.0,8303.0,96.0,2.996742028061359,
PM10_fit_1,"(3, 1, 1)","(1, 0, 1, 24)",[],2,8304.0,8399.0,96.0,4.256920554269282,
PM10_fit_1,"(3, 1, 1)","(1, 0, 1, 24)",[],3,8400.0,8495.0,96.0,3.6941748489471156,
PM10_fit_1,"(3, 1, 1)","(1, 0, 1, 24)",[],4,8496.0,8591.0,96.0,5.750006326718013,
PM10_fit_1,"(3, 1, 1)","(1, 0, 1, 24)",[],5,8592.0,8687.0,96.0,2.7717193278066037,
PM10_fit_2,"(3, 1, 1)","(1, 0, 1, 24)",['temperature'],1,8208.0,8303.0,96.0,3.0694782597310595,
PM10_fit_2,"(3, 1, 1)","(1, 0, 1, 24)",['temperature'],2,8304.0,8399.0,96.0,4.278578338155823,
PM10_fit_2,"(3, 1, 1)","(1, 0, 1, 24)",['temperature'],3,8400.0,8495.0,96.0,3.6877178056906605,
PM10_fit_2,"(3, 1, 1)","(1, 0, 1, 24)",['temperature'],4,8496.0,8591.0,96.0,5.777528523404087,
PM10_fit_2,"(3, 1, 1)","(1, 0, 1, 24)",['temperature'],5,8592.0,8687.0,96.0,2.790973163015553,
PM10_fit_1,"(3, 1, 1)","(1, 0, 1, 24)",,MEAN,,,,3.893912617160475,1.0659255735490374
PM10_fit_2,"(3, 1, 1)","(1, 0, 1, 24)",,MEAN,,,,3.920855217999437,1.0612286115592249
